OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
1869,6404,Sirius,Sirius-Asburton, ,Ashburton (Atlantis - Ashburton) project,site, ,Australia,Western Australia,-23.655526,118.242883, ,other igneous deposit,"vein, hydrothermal", ,"U, REE", , , , ,Occurrence, ,,metazeunerite,"iron oxide, zoisite, quartz",,,,,,,,,,,U3O8 Ltd. (2009); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1870,6570,Slab Hut, , , ,district or area, ,New Zealand,West Coast,-42.156,171.762, ,alluvial placer, , ,"Au, REE", , , , ,Showing, ,monazite,gold,,,,,,,,,,,,Christie and others (2010); Overstreet (1967),,,dredge,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1871,6406,Smiths Beach,Yallingup, , ,site, ,Australia,Western Australia,-33.6657,115.0212, ,shoreline placer(?), , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, rutile, zircon, (leucoxene)",,,,,,,,,,,,Geoscience Australia (2013); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1872,6407,Snapper, , , ,district or area(?),HM mine,Australia,New South Wales,-33.397,142.12, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"rutile, zircon, ilmenite, (leucoxene)",,,,,,beach sand,,,,,Deposits concealed and includes alluvial and residual material.,Geoscience Australia (2013); Hoatson and others (2011),1999,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1873,6408,Somme, , , ,district or area(?), ,Australia,New South Wales,-33.35,142.32, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"rutile, zircon, ilmenite, (leucoxene)",quartz,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1874,6410,Sophie Downs REE 2, , , ,site(?), ,Australia,Western Australia,-18.1806,127.8628, ,unclassified, , ,"Nb, Zr, F, REE", , , , ,Showing, ,,,,,,,,,,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1875,6411,Spider Hill, , ,Hastings Yangibana project,site,outcrop,Australia,Western Australia,-23.9246,116.2673, ,carbonatite with residual enrichment, , ,REE, , , , ,Showing, ,,,,,,,,carbonatite,Gifford Creek carbonatite complex,,,,Mineralization is in ironstone dikes with anomalous REE.,Rare Earth Minerals PLC (2015a); Western Australia Department of Mineral and Petroleum Resources (2012); Western Australia Geological Survey (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1876,6571,St. Bathans,Manuherikia, , ,site,historic mine,New Zealand,Otago,-44.8683,169.8108, ,paleoplacer(?), , ,"Au, REE", , , , ,Showing, ,monazite,native gold,,,,,,,,,,,,GNS Science (2013); Morgan (1926),,,,Not known,,,,,,,,,,,,,,,,,,,,,Oceania
1877,6414,Stockton,"Fullerton, Stockton Bight", , ,district or area, ,Australia,New South Wales,-32.8668,151.82,In Murray Basin.,shoreline placer, , ,"Zr, Ti, REE, Th", , , , ,Deposit(?), ,monazite,"zircon, rutile, ilmenite",quartz,Holocene,,Holocene,,dune and beach sand,,,,Mineral Deposits Ltd.,,Geoscience Australia (2013); Griffiths (1992); Hedrick and Templeton (1991); Lishmund and others (1999); Towner (1992); Wallis and Oakes (1990),1962,,dredge,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,Oceania
1878,6416,Stratham North, , , ,district or area,historic HM mine,Australia,Western Australia,-33.452,115.6193, ,shoreline placer(?), , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, rutile, (leucoxene)",quartz,,,,,,,,,,Heavy mineral sands of Capel shoreline.,Baxter (1977); Geoscience Australia (2013),,,,Not known,,,,,,,,,,,,,,,,,,,,,Oceania
1879,6417,Stratham South,, ,Capel,district or area,historic HM mine,Australia,Western Australia,-33.4931,115.5942, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit, ,"monazite, xenotime","ilmenite, zircon, (leucoxene), garnet",,,,,,Eolian sand,,,,,Heavy mineral sands of Capel shoreline; 2 parallel deposits of mineral sands.,ESCAP and ABMRGG (1988); Western Australia Department of Mineral and Petroleum Resources (2012),,,,Past byproduct producer,,,,,,,,,,,,,,,,,,,,,Oceania
1880,6418,Stratham West, , , ,district or area,historic HM mine,Australia,Western Australia,-33.5005,115.5759, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit(?),small deposit,monazite,"ilmenite, zircon, (leucoxene)",,,,,,,,,,,Heavy mineral sands of Capel shoreline.,Western Australia Department of Mineral and Petroleum Resources (2012),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,Oceania
1881,6419,Stromberg, , , ,site(?), ,Australia,Northern Territory,-14.33,131.4,Estimated location.,other igneous deposit(?), , ,REE, , , , ,Occurrence, ,xenotime,,clay(?),,,,,sandstone,,,,Spectrum Rare Earths Ltd.,,Bromby (2012); TUC Resources Limited (2012); Northern Territory Government (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1882,6420,Sunshine Coast, , , ,district or area(?), ,Australia,Queensland,-26.4165,153.1013,In National Park or other land excluded from mineral exploitation.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"rutile, zircon, ilmenite",,,,,,"beach, beach ridge, and dune sand",,,,,,Denaro (2011); Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1883,6421,Swan Lake, , , ,site(?), ,Australia,Western Australia,-34.305,115.1785, ,shoreline placer(?), , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, rutile, (leucoxene)",,,,,,,,,,,,Geoscience Australia (2013); Hoatson and others (2011); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1884,6422,Tanawa West,Killi Killi Hills,"Killi Killli Hills No. 1, Killi Killi Hills No. 2, Killi Killi West, Tanami East", ,district or area, ,Australia,Western Australia,-19.75,128.9667, ,other igneous deposit,hydrothermal mineralization along unconformity, ,"Au, REE, Sr, Ba, U","Dy, Yb, Er", , , ,Occurrence, ,"xenotime, florencite, goyazite",gold,,,,,,"conglomerate, sandstone, ""basement rocks""",,,,Orion Metals Ltd.,Mineralization is along unconformity. Sediments are flat-lying.,Geoscience Australia (2013); Hoatson and others (2011); Orion Metals Ltd. (2011); Orion Metals Ltd. (2015),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1885,6423,Tarawi North, , , ,district or area, ,Australia,New South Wales,-33.4287,141.168, ,shoreline placer, , ,"Zr, Ti, REE, Th", , , , ,Occurrence, ,,"zircon, ilmenite, rutile, (leucoxene)",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1886,6424,Tarawi South, , , ,district or area, ,Australia,New South Wales,-33.4737,141.1843, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,,"zircon, rutile, ilmenite",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1887,6425,Tea Tree Glen,"Teatree, Ti Tree", , ,site(?), ,Australia,South Australia,-34.2125,137.5459, ,unclassified, , ,"Cu, REE", , , , ,Showing, ,allanite,"chalcopyrite, galena, molybdenite, sphalerite","fluorite, tourmaline, chlorite, clay, quartz, pyrite, pyrrhotite, arsenopyrite",,,,,schist,,,hydrothermal,,,South Australia Department of State Development Resources and Energy Group (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1888,6426,Telesto, , , ,district or area, ,Australia,Western Australia,-30.534,115.2952, ,shoreline placer, , ,"Ti, Zr, GAR, STA, REE", , , , ,Occurrence, ,monazite,"ilmenite, (leucoxene), rutile, zircon, garnet, staurolite",,,,,,,,,,,,Weng and others (2015); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1889,6427,Telfer East, , , ,site(?), ,Australia,Western Australia,-33.6557,115.0432, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, rutile, (leucoxene), zircon",,,,,,,,,,,,Geoscience Australia (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1890,6428,The Loop, , , ,district or area, ,Australia,Western Australia,-32.6567,115.9416, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,monazite,"zircon, (leucoxene), ilmenite, rutile",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1891,6429,Titan, , , ,district or area, ,Australia,Victoria,-34.9689,142.4131, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,,"rutile, zircon, ilmenite, (leucoxene)",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1892,6430,Titan, , , ,district or area,HM deposit,Australia,Western Australia,-30.5414,115.3076, ,shoreline placer, , ,"Ti, Zr, GAR, STA, REE", , , , ,Occurrence, ,monazite,"ilmenite, (leucoxene), rutile, zircon, garnet, staurolite",,,,,,,,,,Image Resources,Heavy mineral sands of Munbinea shoreline.,Western Australia Department of Mineral and Petroleum Resources (2012); Image Resources (2015a),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1893,6431,Tiwi, ,"includes Lethbridge West, Lethbridge South, Andranangoo", ,district or area,HM mine(s),Australia,Northern Territory,-11.3655,131.0183, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,monazite,"zircon, rutile, (leucoxene), ilmenite",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011); Jaireth and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1894,6432,Todman, , , ,district or area, ,Australia,Western Australia,-31.3431,115.8876, ,placer of unknown origin(?),, ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, rutile, zircon",,,,,,,,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1895,6433,Tomago,"Newcastle, Clybucca", , ,district or area(?), ,Australia,New South Wales,-32.7468,152.1, ,shoreline placer, , ,"Ti, Zr, REE, GAR", , , , ,Deposit,small deposit,monazite,"rutile, zircon, ilmenite, garnet",quartz,Pleistocene,,Pleistocene,,dune and beach sand,Tomago Sands,,,RZ Mines Pty. Ltd.,Wind blown sand dunes and plains separated from the coast by a younger dune system; 1.0–1.5% heavy minerals on average with cutoff of 0.5%.,ESCAP and ABMRGG (1988); Geoscience Australia (2013); Hedrick and Templeton (1991); Jackson and Christiansen (1993); Lishmund and others (1999); Towner (1992); Wallis and Oakes (1990),1965,,,Past byproduct producer,,,,,,,,,,,,,,,,,,,,,Oceania
1896,6434,Tongue, , ,Hastings Yangibana project,district or area, ,Australia,Western Australia,-23.9039,116.152, ,carbonatite with residual enrichment,carbonatite and alkaline igneous intrusions, ,REE, , , , ,Showing, ,xenotime,,,,,,,carbonatite(?),Gifford Creek carbonatite complex,,,,Mineralization is in ironstone dikes with anomalous REE.,Rare Earth Minerals PLC (2015a); Western Australia Department of Mineral and Petroleum Resources (2012); Western Australia Geological Survey (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1897,6435,Toolebuc, , , ,site(?), ,Australia,Queensland,-20.8967,140.8719, ,other igneous deposit,igneous-related deposit, ,REE, , , , ,Showing, ,,,,,,,,,,,,"Paradigm Metals Ltd., Exco Resources",,Queensland Department of Natural Resources and Mines (2014b),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1898,6436,Toongi, , ,Dubbo,site(?), ,Australia,New South Wales,-32.463,148.6261, ,alkaline igneous, , ,"Zr, Nb, REE, Ta, Hf, U",Y present, , , ,Deposit, ,calcian bastnäsite,"natroniobite, zircon",,Jurassic,,Jurassic,,alkaline trachyte,,,,,Main Dubbo orebody.,Alkane Resources Ltd. (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1899,6437,Torwood Sand Ridge,Bolwarra Sand Ridge, , ,district or area, ,Australia,Queensland,-17.4156,143.9979, ,paleoplacer(?), , ,"Sn, REE, Au, Ti, Zr", , , , ,Showing, ,monazite,"cassiterite, ilmenite, zircon, rutile, gold",,Cretaceous(?),,Cretaceous(?),,alluvial and colluvial sediment,,,,,Deposit is believed to be paleochannel infill of Cretaceous age.,von Gnielinski (2015),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1900,6438,Trelawney, , , ,district or area, ,Australia,New South Wales,-33.65,142.71, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,,"zircon, rutile, ilmenite, (leucoxene)",,,,,,beach sand,,,,,,Hoatson and others (2011); Geoscience Australia (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1901,6440,Triangle, , , ,district or area, ,Australia,New South Wales,-33.46,142.92, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,,"zircon, rutile, ilmenite, (leucoxene)",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1902,6441,Trigg Hill Rare Earths 2, , , ,site, ,Australia,Western Australia,-21.6012,119.2878, ,other igneous deposit,pegmatite, ,REE,Y, , , ,Occurrence, ,,,,,,,,,,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1903,6442,Trigg Hill Rare Earths 1, , , ,site, ,Australia,Western Australia,-21.5996,119.2878, ,other igneous deposit,pegmatite, ,REE,Y, , , ,Occurrence, ,,,,,,,,,,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1904,6443,Tripitaka, , , ,site(?), ,Australia,South Australia,-31.55,132.8, ,shoreline placer(?), , ,"Zr, Ti, REE", , , , ,Occurrence, ,monazite,"zircon, rutile, ilmenite, pseudorutile, (leucoxene), chromite",quartz,Middle Eocene,,Middle Eocene,,beach and dune sand,,,,Iluka Resources Ltd.,Overburden averages 9 m thick.,Geoscience Australia (2012); Geoscience Australia (2013); Hou and others (2011); Iluka (2013b),2005,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1905,6444,Tutunup,"Capel/Iluka, Tutunup Iluka", ,Capel,district or area, ,Australia,Western Australia,-33.6811,115.5647, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, rutile, zircon, (leucoxene)",quartz,,,,,beach sand,,,,,Heavy mineral sands of Yoganup shoreline.,Geoscience Australia (2013); Hoatson and others (2011); Roskill Information Services (1988); Western Australia Department of Mineral and Petroleum Resources (2012),,,proposed open pit,No production,Proposed production.,,,,,,,,,,,,,,,,,,,,Oceania
1906,6445,Tutunup South,"Tutunup, Bemax", ,Capel,district or area,active HM mine,Australia,Western Australia,-33.7117,115.5235, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,monazite,"zircon, ilmenite, (leucoxene), rutile",,,,,,,,,,,Heavy mineral sands of Yoganup shoreline.,Geoscience Australia (2012); Geoscience Australia (2013); Western Australia Department of Mineral and Petroleum Resources (2012),,,proposed open pit,No production,Proposed production.,,,,,,,,,,,,,,,,,,,,Oceania
1907,6446,Tutunup West,Simto, ,Bunbury area,district or area, ,Australia,Western Australia,-33.6667,115.5, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,monazite,"zircon, ilmenite, rutile, (leucoxene)",,,,,,,,,,,Heavy mineral sands of Yoganup shoreline.,Geoscience Australia (2013); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1908,6447,Twin Hills, , ,Eneabba,site(?),historic HM mine,Australia,Western Australia,-29.7493,115.323, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence(?), ,monazite,"ilmenite, zircon, rutile",,,,,,,,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,HM mine is currently on care and maintenance.,,,,,,,,,,,,,,,,,,,,Oceania
1909,6448,Typhoon, , , ,district or area, ,Australia,South Australia,-30.946,132.262,In Eucla Basin.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, (leucoxene), zircon, rutile",clay,,,,,,,,,Iluka Resources Ltd.,Overburden 5–27 m thick.,Geoscience Australia (2012); Hou and others (2011); Iluka (2013b),2007,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1910,6449,Tyrrell Ridge, , , ,district or area, ,Australia,Victoria,-35.7356,142.7533, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,,"rutile, ilmenite, zircon",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
